&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.video_url&##&,&##&video url&##&
&##&promotion.option&##&,&##&option&##&
&##&promotion.custom_end_time_input_is_incorrect&##&,&##&custom end time input is incorrect&##&
&##&promotion.the_random_start_amount_must_be_less_than_the_cut-off_amount&##&,&##&the random start amount must be less than the cut-off amount&##&
&##&promotion.delete_column&##&,&##&delete column&##&
&##&promotion.use_limits_for_each_recommendation&##&,&##&use limits for each recommendation&##&
&##&promotion.alignment_at_both_ends&##&,&##&alignment at both ends&##&
&##&promotion.quick_view&##&,&##&quick view&##&
&##&promotion.not_preview&##&,&##&not preview&##&
&##&promotion.add_class_restrictions&##&,&##&add class restrictions&##&
&##&promotion.search_video&##&,&##&search video&##&
&##&promotion.payment_order_draw&##&,&##&payment order draw&##&
&##&promotion.alphabetical_capitalization&##&,&##&alphabetical capitalization&##&
&##&promotion.user_cell_phone_number&##&,&##&user cell phone number&##&
&##&promotion.allow_free_use_and_modification_of_code&##&,&##&allow free use and modification of code&##&
&##&promotion.close_dialog_boxes&##&,&##&close dialog boxes&##&
&##&promotion.eat_flowers&##&,&##&eat flowers&##&
&##&promotion.maximum_support&##&,&##&maximum support&##&
&##&promotion.name&##&,&##&name&##&
&##&promotion.and_no_more_than_two_decimal_numbers&##&,&##&and no more than two decimal numbers&##&
&##&promotion.tianjin&##&,&##&tianjin&##&
&##&promotion.shed_tears&##&,&##&shed tears&##&
&##&promotion.network_error&##&,&##&network error&##&
&##&promotion.the_number_of_conditions_must_be_greater_than_the_number_of_concessions&##&,&##&the number of conditions must be greater than the number of concessions&##&
&##&promotion.total_limited_input_of_selected_goods_is_incorrect&##&,&##&total limited input of selected goods is incorrect&##&
&##&promotion.sob&##&,&##&sob&##&
&##&promotion.sports&##&,&##&sports&##&
&##&promotion.inventory_restriction&##&,&##&inventory restriction&##&
&##&promotion.package_discount_input_is_incorrect&##&,&##&package discount input is incorrect&##&
&##&promotion.business_information_query&##&,&##&business information query&##&
&##&promotion.already_received&##&,&##&already received&##&
&##&promotion.to&##&,&##&to&##&
&##&promotion.the_membership_grade_of_the_granting_object_must_be_selected&##&,&##&the membership grade of the granting object must be selected&##&
&##&promotion.low_version&##&,&##&low version&##&
&##&promotion.review_and_pass_through&##&,&##&review and pass through&##&
&##&promotion.please_enter_the_search_keyword&##&,&##&please enter the search keyword&##&
&##&promotion.do_not_contain&##&,&##&do not contain&##&
&##&promotion.query_result&##&,&##&query result&##&
&##&promotion.bomb&##&,&##&bomb&##&
&##&promotion.small_black_spot&##&,&##&small black spot&##&
&##&promotion.whole&##&,&##&whole&##&
&##&promotion.indigo&##&,&##&indigo&##&
&##&promotion.import_failure&##&,&##&import failure&##&
&##&promotion.may&##&,&##&may&##&
&##&promotion.promotion_content_should_not_be_greater_than_promotion_conditions&##&,&##&promotion content should not be greater than promotion conditions&##&
&##&promotion.singer&##&,&##&singer&##&
&##&promotion.participate_in_the_store&##&,&##&participate in the store&##&
&##&promotion.entity_card&##&,&##&entity card&##&
&##&promotion.saliva&##&,&##&saliva&##&
&##&promotion.full_volume&##&,&##&full volume&##&
&##&promotion.please_select_the_brand_that_needs_to_be_deleted&##&,&##&please select the brand that needs to be deleted&##&
&##&promotion.the_previous&##&,&##&the previous&##&
&##&promotion.map&##&,&##&map&##&
&##&promotion.choose_goods&##&,&##&choose goods&##&
&##&promotion.cycle_time&##&,&##&cycle time&##&
&##&promotion.a_gift_has_been_added&##&,&##&a gift has been added&##&
&##&promotion.baidu&##&,&##&baidu&##&
&##&promotion.is_it_open_at_a_new_window&##&,&##&is it open at a new window&##&
&##&promotion.bold&##&,&##&bold&##&
&##&promotion.album&##&,&##&album&##&
&##&promotion.mutual_exclusion_tips&##&,&##&mutual exclusion tips&##&
