&##&promotion.look_at_the_gift&##&,&##&查看赠品&##&
&##&promotion.video_url&##&,&##&视频网址&##&
&##&promotion.option&##&,&##&选项&##&
&##&promotion.custom_end_time_input_is_incorrect&##&,&##&自定义结束时间输入有误&##&
&##&promotion.the_random_start_amount_must_be_less_than_the_cut-off_amount&##&,&##&随机开始金额必须小于截止金额&##&
&##&promotion.delete_column&##&,&##&删除列&##&
&##&promotion.use_limits_for_each_recommendation&##&,&##&每个推荐码使用限制&##&
&##&promotion.alignment_at_both_ends&##&,&##&两端对齐&##&
&##&promotion.quick_view&##&,&##&快速查看&##&
&##&promotion.not_preview&##&,&##&不能预览&##&
&##&promotion.add_class_restrictions&##&,&##&添加类目限制&##&
&##&promotion.search_video&##&,&##&搜索视频&##&
&##&promotion.payment_order_draw&##&,&##&支付订单抽奖&##&
&##&promotion.alphabetical_capitalization&##&,&##&字母大写&##&
&##&promotion.user_cell_phone_number&##&,&##&使用者手机号&##&
&##&promotion.allow_free_use_and_modification_of_code&##&,&##&允许自由使用和修改代码&##&
&##&promotion.close_dialog_boxes&##&,&##&关闭对话框&##&
&##&promotion.eat_flowers&##&,&##&吃花&##&
&##&promotion.maximum_support&##&,&##&最大支持&##&
&##&promotion.name&##&,&##&名称&##&
&##&promotion.and_no_more_than_two_decimal_numbers&##&,&##&且不能超过两位小数&##&
&##&promotion.tianjin&##&,&##&天津&##&
&##&promotion.shed_tears&##&,&##&流泪&##&
&##&promotion.network_error&##&,&##&网络错误&##&
&##&promotion.the_number_of_conditions_must_be_greater_than_the_number_of_concessions&##&,&##&条件数量必须大于优惠数量&##&
&##&promotion.total_limited_input_of_selected_goods_is_incorrect&##&,&##&选中商品总限制输入有误&##&
&##&promotion.sob&##&,&##&抽泣&##&
&##&promotion.sports&##&,&##&体育&##&
&##&promotion.inventory_restriction&##&,&##&库存限制&##&
&##&promotion.package_discount_input_is_incorrect&##&,&##&套餐折扣输入有误&##&
&##&promotion.business_information_query&##&,&##&商家信息查询&##&
&##&promotion.already_received&##&,&##&已领取&##&
&##&promotion.to&##&,&##&至&##&
&##&promotion.the_membership_grade_of_the_granting_object_must_be_selected&##&,&##&发放对象会员等级必须选择&##&
&##&promotion.low_version&##&,&##&版本过低&##&
&##&promotion.review_and_pass_through&##&,&##&审核通过&##&
&##&promotion.please_enter_the_search_keyword&##&,&##&请输入搜索关键词&##&
&##&promotion.do_not_contain&##&,&##&不包含&##&
&##&promotion.query_result&##&,&##&查询结果&##&
&##&promotion.bomb&##&,&##&炸弹&##&
&##&promotion.small_black_spot&##&,&##&小黑点&##&
&##&promotion.whole&##&,&##&全部&##&
&##&promotion.indigo&##&,&##&靛&##&
&##&promotion.import_failure&##&,&##&导入失败&##&
&##&promotion.may&##&,&##&五月&##&
&##&promotion.promotion_content_should_not_be_greater_than_promotion_conditions&##&,&##&促销内容不能大于促销条件&##&
&##&promotion.singer&##&,&##&歌手&##&
&##&promotion.participate_in_the_store&##&,&##&参与店铺&##&
&##&promotion.entity_card&##&,&##&实体卡&##&
&##&promotion.saliva&##&,&##&口水&##&
&##&promotion.full_volume&##&,&##&满量赠送&##&
&##&promotion.please_select_the_brand_that_needs_to_be_deleted&##&,&##&请选择需要删除的品牌&##&
&##&promotion.the_previous&##&,&##&上一个&##&
&##&promotion.map&##&,&##&地图&##&
&##&promotion.choose_goods&##&,&##&选择商品&##&
&##&promotion.cycle_time&##&,&##&循环时间&##&
&##&promotion.a_gift_has_been_added&##&,&##&已添加赠品&##&
&##&promotion.baidu&##&,&##&百度&##&
&##&promotion.is_it_open_at_a_new_window&##&,&##&是否在新窗口打开&##&
&##&promotion.bold&##&,&##&加粗&##&
&##&promotion.album&##&,&##&专辑&##&
&##&promotion.mutual_exclusion_tips&##&,&##&互斥提示&##&
&##&promotion.the_input_of_total_limit_purchase_number_is_incorrect&##&,&##&总限购数输入有误&##&
&##&promotion.the_amount_of_times&##&,&##&倍量&##&
&##&promotion.single_integral&##&,&##&免单积分&##&
&##&promotion.backend_configuration_items_are_not_loaded_normally&##&,&##&后端配置项没有正常加载&##&
&##&promotion.commodity_price&##&,&##&商品价格&##&
&##&promotion.enabled&##&,&##&已启用&##&
&##&promotion.start_and_stop_time&##&,&##&起止时间&##&
&##&promotion.formatting_brush&##&,&##&格式刷&##&
&##&promotion.please_choose_the_product_that_needs_to_be_withdrawn&##&,&##&请选择需要撤出的产品&##&
&##&promotion.status_of_registration_activities&##&,&##&报名活动状态&##&
&##&promotion.data_alignment&##&,&##&数据对齐方式&##&
&##&promotion.order_this_application&##&,&##&点此申请&##&
&##&promotion.the_automatic_group_setting_must_be_a_positive_integer&##&,&##&自动成团设置必须为正整数&##&
&##&promotion.please_wait&##&,&##&请等待&##&
&##&promotion.promotion_search_list&##&,&##&营销活动查询&##&
&##&promotion.continue_to_add_dispaid_promotions&##&,&##&继续添加支付优惠促销活动&##&
&##&promotion.function&##&,&##&功能&##&
&##&promotion.store_address&##&,&##&商家地址&##&
&##&promotion.symbol_conversion&##&,&##&符号转换&##&
&##&promotion.female_bag&##&,&##&女兜&##&
&##&promotion.the_start_time_of_the_voucher_activity_is_not_greater_than_the_end_time&##&,&##&券活动开始时间不能大于结束时间&##&
&##&promotion.redo&##&,&##&重做&##&
&##&promotion.the_upper_limit_of_the_amount_should_be_limited_to&##&,&##&倍量上限应限制在&##&
&##&promotion.that_the_number_of_goods_purchased_by_a_user_exceeds_the_number_of_active_purchases&##&,&##&指用户购买商品数量超过活动可购买数量&##&
&##&promotion.system_hints&##&,&##&系统提示&##&
&##&promotion.binding_time&##&,&##&绑定时间&##&
&##&promotion.ritual_gold_card_face_value&##&,&##&礼金卡面值&##&
&##&promotion.set_by_activity&##&,&##&通过活动设置的&##&
&##&promotion.the_number_of_prizes_must_be_positive_integers&##&,&##&抽奖次数必须为正整数&##&
&##&promotion.the_rules_must_be_filled_in&##&,&##&规则必须填写&##&
&##&promotion.the_end_time_of_payment_of_deposit_payment_is_incorrect&##&,&##&定金支付结束时间输入有误&##&
&##&promotion.the_start_time_of_the_activity_can_not_be_empty&##&,&##&活动开始时间不能为空&##&
&##&promotion.has_been_used&##&,&##&已用&##&
&##&promotion.store_goods&##&,&##&商家商品&##&
&##&promotion.chart_title&##&,&##&图表标题&##&
&##&promotion.non_winning_note&##&,&##&未中奖说明&##&
&##&promotion.total_number_of_registered_goods&##&,&##&报名商品总数&##&
&##&promotion.the_choice_of_self_-_voucher_can_only_act_on_self_-_owned_goods&##&,&##&选择自营券仅可作用于自营商品&##&
&##&promotion.six&##&,&##&六&##&
&##&promotion.there_is_a_duplicate_item_on_the_promotion_condition&##&,&##&促销条件存在重复项目&##&
&##&promotion.the_plain_text_content_of_the_editor_is&##&,&##&编辑器的纯文本内容为&##&
&##&promotion.template&##&,&##&模板&##&
&##&promotion.quantity_of_delivery&##&,&##&投放数量&##&
&##&promotion.company&##&,&##&单位&##&
&##&promotion.goods_have_been_set_up&##&,&##&已设置商品&##&
&##&promotion.draw_rules&##&,&##&抽奖规则&##&
&##&promotion.hands-on_background&##&,&##&工作经验&##&
&##&promotion.file_upload&##&,&##&文件上传中&##&
&##&promotion.single_number&##&,&##&免单人数&##&
&##&promotion.single_number_limit_limit_of_single_account_is_limited&##&,&##&单个账号免单次数上限限制在&##&
&##&promotion.commodity_introduction&##&,&##&商品导入&##&
&##&promotion.dont_say&##&,&##&不说&##&
